,protein_name,num_sample,mol_id,Model,FF_unminimised_Minimized Vina score,FF_unminimised_Vina score,FF_unminimised_Minimized Glide score,FF_unminimised_Glide score,FF_unminimised_VALIDITY3D_BOND_LENGTH,FF_unminimised_VALIDITY3D_BOND_ANGLE,FF_unminimised_VALIDITY3D_BOND_TORSION,FF_minimised_Minimized Vina score,FF_minimised_Vina score,FF_minimised_Minimized Glide score,FF_minimised_Glide score,FF_minimised_VALIDITY3D_BOND_LENGTH,FF_minimised_VALIDITY3D_BOND_ANGLE,FF_minimised_VALIDITY3D_BOND_TORSION,easydock_redocking_rmsd,easydock_plif,easydock_redocking_score,glide_redocking_rmsd,glide_plif,glide_redocking_score,SMILES,MW,QED,logP,SAScore
0,generic_title2,100,DiffSBDD_0,DiffSBDD,-5.931,-4.935,-7.367,10000.0,0.001246152755976173,0.16277888937790175,,-6.701,-6.452,-7.566,-7.868,0.8522685705193341,0.9726893527325162,,6.914677043153291,0.286,-7.45,3.389010496294276,0.0,-6.2590529478290025,CN1CCc2nc(C[S@H]3CC[C@H](CO)C3)ccc21,266.40999999999997,0.8157732355629237,1.5872999999999997,4.75187148282269
1,generic_title2,100,DiffSBDD_1,DiffSBDD,-3.509,-4.307,-6.167,10000.0,0.0020440487027973317,0.03181383208933723,,-5.022,-4.977,-6.734,-6.313,0.8459034287463394,0.8500877514472905,,4.662749795683108,0.0,-9.456,3.927738304925066,0.0,-5.986456894545518,O=C(N[C@H](O)[C@@]12CC[C@H](F)C(F)=N[C@H]1C2)[C@H](OCCC=CCO)[C@@H](O)C[C@@H](O)C1=CCCCCC1,500.58300000000025,0.1582740642392282,2.0058,5.545398471779743
2,generic_title2,100,DiffSBDD_10,DiffSBDD,-10.034,-8.713,-7.673,10000.0,0.010586676323255311,0.3507031728086266,0.46234203004123087,-9.433,-8.69,-9.001,-7.647,0.7751117739260586,0.898260017179749,0.7240767817960422,1.3231102426803725,0.429,-9.639,1.637268691514403,0.0,-6.905316345105382,O=C(CCC1(c2ccccc2)CC1)NS(=O)(=O)N[C@@]12C[C@@H]1CC[C@H]1CCO[C@@H]12,404.5320000000002,0.7309194230567734,2.4066,4.342319666050997
3,generic_title2,100,DiffSBDD_11,DiffSBDD,-5.715,-5.639,-6.525,-5.835,0.05487778426047354,0.44150005107699597,,-6.203,-5.977,-7.216,-7.355,0.9042385444009997,0.797998529689799,,6.9769642216368,0.429,-7.194,1.5347522999560548,0.0,-6.819941975247445,CCN1C=C(C)[C@H](CCSC[C@@H](C)N)CC1,242.43199999999996,0.7262309159389709,2.7025000000000015,4.160573009855278
4,generic_title2,100,DiffSBDD_12,DiffSBDD,-6.296,-5.215,-6.919,-6.283,0.6526117071416232,,,-6.292,-6.253,-6.838,-6.678,0.9483314820387156,,,2.6692418399238385,0.0,-6.724,2.767063808865077,0.0,-5.621077169829004,O=[N+]([O-])C1=CC=CC2(CC2)C1,151.165,0.4239085590646845,1.8871,4.32399109952428
5,generic_title2,100,DiffSBDD_13,DiffSBDD,-8.811,-7.921,-6.984,10000.0,0.1343895796876526,0.23936430946753037,0.23791313750513424,-8.72,-8.065,-6.896,10000.0,0.8805883378431688,0.8762847341211486,0.6006337916456589,4.515947751776386,0.429,-9.632,11.144175654236154,0.0,-6.170580103813139,N[C@@H]1CCCC[C@@H]1c1ccc(O)c(O[C@@H](N)Cn2ccc3c2N=C(OC(F)(F)F)C3)c1,438.4500000000001,0.6176950387403773,3.664900000000002,4.427263691594962
6,generic_title2,100,DiffSBDD_14,DiffSBDD,-7.939,-7.747,-7.037,-6.368,0.24004193653399966,0.6354404541162437,0.3974656147462524,-7.887,-7.025,-6.994,-7.361,0.9359202548902555,0.9530000427289439,0.7823148789317217,1.913961776477833,0.571,-9.267,1.5968851469805778,0.0,-6.699556320159187,CC1(C)CCN[C@H]1C(=O)N=CCCc1ccc(N(N)O)cc1,304.394,0.43718722476073896,1.674,3.962663502507125
7,generic_title2,100,DiffSBDD_15,DiffSBDD,-2.32,-0.157,10000.0,10000.0,0.0027522700713475848,0.00102047133854556,0.0002569286076996025,-4.08,-3.823,10000.0,10000.0,0.6850363712950767,0.6201967944133707,0.0020925898978320853,5.744021431018517,0.571,-8.812,5.942631629278215,0.0,-5.122382312870913,CCC[C@@H](CC=O)CCc1ccc(CC[C@H](C(=O)NC(=O)c2ccc(F)cc2SC[C@H](O)CO)[C@@H](C)O)cc1F,579.706,0.1633405852135648,4.234200000000005,4.244864360266526
8,generic_title2,100,DiffSBDD_16,DiffSBDD,-5.476,-2.049,10000.0,10000.0,0.0073414818545979935,,,-6.591,-6.035,-6.782,-4.433,0.9145430868065807,,,11.08712579413619,0.429,-11.677,7.484277992778454,0.0,-5.678175245831913,C[C@H](C1=NNNN1)[C@@H](O)[C@@H]1CCCN(C(=O)C2=NCC([C@H]3NNC4=C(Cl)NC[C@@H]43)=C2)CC1,463.9740000000001,0.2583950266460301,-0.9772999999999961,5.560051266338506
9,generic_title2,100,DiffSBDD_17,DiffSBDD,-6.702,-5.636,-6.314,10000.0,0.03264409640208986,0.8933662500794785,0.39674130094205723,-6.72,-6.496,-5.943,-4.481,0.8373630145704976,0.7614996183851904,0.30319936003170483,9.484799927603463,0.0,-8.236,9.636690914965186,0.0,-4.182023570418357,O=NCCOCc1ccc(OC[C@]2(Cl)CCC(C(=O)O)C2)cc1Cl,376.23600000000016,0.401857663997482,3.8641000000000023,3.8718815217763707
